,elapsed,accuracy,targ_std,targ_mean,train_loss,valid_loss,model,leak,sub,maxv
0,41.014403,0.10000000149011612,0.5,0.0,2.3592041002909343,2.3329481246948243,get_model_conv,-0.1,-0.1,3.0
1,40.251968,0.10000000149011612,0.5,0.0,2.3969815561930337,2.3840927936553955,get_model_conv,-0.1,-0.1,5.0
2,38.992648,0.10000000149011612,0.5,0.0,54051.99216666666,37873.0283,get_model_conv,-0.1,-0.1,
3,39.592683,0.10000000149011612,0.5,0.0,2.3666981862386067,2.4306285888671875,get_model_conv,-0.1,0.1,3.0
4,40.289212,0.10000000149011612,0.5,0.0,2.398674713643392,2.4291908351898193,get_model_conv,-0.1,0.1,5.0
5,39.075714,0.10000000149011612,0.5,0.0,105064.50022083333,73736.0277,get_model_conv,-0.1,0.1,
6,41.092087,0.10000000149011612,0.5,0.0,2.3619227289835614,2.3626855754852296,get_model_conv,-0.1,0.2,3.0
7,40.15246,0.2728999853134155,0.5,0.0,1.934040591430664,1.8654183799743653,get_model_conv,-0.1,0.2,5.0
8,39.544452,0.10000000149011612,0.5,0.0,52784.501427083334,31827.60626875,get_model_conv,-0.1,0.2,
9,40.175025,0.10000000149011612,0.5,0.0,2.362884397125244,2.3379758792877197,get_model_conv,-0.1,,3.0
10,40.626091,0.10000000149011612,0.5,0.0,2.3883113494873047,2.3585967590332033,get_model_conv,-0.1,,5.0
11,39.840613,0.10000000149011612,0.5,0.0,141156.02935833333,83557.74365,get_model_conv,-0.1,,
12,40.850881,0.8389000296592712,0.5,0.0,0.40778537829717,0.436476823759079,get_model_conv,0.1,-0.1,3.0
13,40.953772,0.8240000009536743,0.5,0.0,0.43622963797251385,0.4829915764808655,get_model_conv,0.1,-0.1,5.0
14,39.632285,0.8306999802589417,0.5,0.0,0.4249900113105774,0.46843388707637784,get_model_conv,0.1,-0.1,
15,40.966566,0.8579000234603882,0.5,0.0,0.3562902547995249,0.3897520554542542,get_model_conv,0.1,0.1,3.0
16,40.877366,0.8503000140190125,0.5,0.0,0.37926293099721275,0.41165243277549746,get_model_conv,0.1,0.1,5.0
17,39.67136,0.8601999878883362,0.5,0.0,0.36203581272761026,0.3902640259027481,get_model_conv,0.1,0.1,
18,40.796085,0.8543000221252441,0.5,0.0,0.3514981409708659,0.39560744929313657,get_model_conv,0.1,0.2,3.0
19,41.094064,0.8510000109672546,0.5,0.0,0.3596888922850291,0.40563203263282777,get_model_conv,0.1,0.2,5.0
20,39.763269,0.8567000031471252,0.5,0.0,0.3478295786857605,0.3951225188732147,get_model_conv,0.1,0.2,
21,40.774292,0.8267999887466431,0.5,0.0,0.4182150064468384,0.47680686626434327,get_model_conv,0.1,,3.0
22,40.690532,0.8474000096321106,0.5,0.0,0.37415827353795367,0.42743754453659055,get_model_conv,0.1,,5.0
23,39.97588,0.842199981212616,0.5,0.0,0.386407923189799,0.4312255208015442,get_model_conv,0.1,,
24,41.0537,0.8515999913215637,0.5,0.0,0.3754294127146403,0.41453812854290006,get_model_conv,0.4,-0.1,3.0
25,40.668887,0.8493000268936157,0.5,0.0,0.37038281116485594,0.4264906828403473,get_model_conv,0.4,-0.1,5.0
26,39.677554,0.8452000021934509,0.5,0.0,0.3876509752591451,0.43743844103813173,get_model_conv,0.4,-0.1,
27,40.735136,0.8562999963760376,0.5,0.0,0.3803227436701457,0.397416876912117,get_model_conv,0.4,0.1,3.0
